Hospital_ID,Region_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total,Year Average,Year Median,Max Year,Min Year,First Quarter Sum,Second Quarter Sum,Third Quarter Sum,Fourth Quarter Sum,First Quarter Avg,Second Quarter Avg,Third Quarter Avg,Fourth Quarter Avg,First Half Year Total,First Half Year Average,Second Half Year Total,Second Half Year Average,Hospital_employees,Annual_Projected_Revenue,Buy_or_not
Hospital 1177,Region 2,District 13,Instrument 3,340,346,401,376,697,11320,15712,25118,27308,15685,11072,13836,122211,10184.25,11196,27308,340,1087,12393,68138,40593,362.33,4131,22712.67,13531,13480,108731,2246.67,17150.14,1040,377178,1
Hospital 1177,Region 2,District 13,Instrument 5,7521,7499,7482,7470,7469,7597,7950,10441,8549,8552,8548,8517,97595,8132.92,7773.5,10441,7469,22502,22536,26940,25617,7500.67,7512,8980,8539,45038,52557,7506.33,8593.43,1040,6854,1
Hospital 1177,Region 2,District 20,Instrument 2,4843,0,4453,0,4117,0,5114,0,4699,0,5461,0,28687,2390.58,2058.5,5461,0,9296,4117,9813,5461,3098.67,1372.33,3271,1820.33,13413,15274,2235.5,2182,12484,34560,1
Hospital 1177,Region 2,District 20,Instrument 3,3653,0,3763,0,3802,0,3810,0,4083,0,3969,0,23080,1923.33,1826.5,4083,0,7416,3802,7893,3969,2472,1267.33,2631,1323,11218,11862,1869.67,1694.57,12484,72960,1
Hospital 1177,Region 2,District 28,Instrument 2,292,689,1055,1298,908,1447,921,766,541,545,1316,933,10711,892.58,914.5,1447,292,2036,3653,2228,2794,678.67,1217.67,742.67,931.33,5689,5022,948.17,924.14,17290,5670,1
Hospital 1177,Region 2,District 28,Instrument 3,136,211,-3,12,0,0,0,0,0,0,0,23,379,31.58,0,211,-3,344,12,0,23,114.67,4,0,7.67,356,23,59.33,3.29,17290,4050,1
Hospital 1177,Region 2,District 4,Instrument 2,14428,15706,17786,17892,18169,23915,20883,27598,20932,13997,21260,25292,237858,19821.5,19526,27598,13997,47920,59976,69413,60549,15973.33,19992,23137.67,20183,107896,129962,17982.67,21982.43,11560,218400,1
Hospital 1178,Region 2,District 13,Instrument 5,163,140,166,206,252,183,216,0,370,169,150,155,2170,180.83,167.5,370,0,469,641,586,474,156.33,213.67,195.33,158,1110,1060,185,177.57,9,53784,1
Hospital 1180,Region 4,District 20,Instrument 2,2109,1616,2471,1588,1911,1906,8486,7612,30437,11269,46729,-4643,111491,9290.92,2290,46729,-4643,6196,5405,46535,53355,2065.33,1801.67,15511.67,17785,11601,99890,1933.5,14542.29,1351,424579,1
Hospital 1180,Region 4,District 20,Instrument 3,3239,17938,2088,26433,5381,22096,-857,21567,1976,23276,1678,21094,145909,12159.08,11659.5,26433,-857,23265,53910,22686,46048,7755,17970,7562,15349.33,77175,68734,12862.5,12975.71,1351,262395,1
Hospital 1180,Region 4,District 20,Instrument 8,0,0,0,0,4,0,0,0,0,0,0,0,4,0.33,0,4,0,0,4,0,0,0,1.33,0,0,4,0,0.67,0,1351,15600,1
Hospital 1181,Region 2,District 13,Instrument 2,8755,8847,8811,8880,8775,8982,9191,9092,9411,8975,8803,9669,108191,9015.92,8927.5,9669,8755,26413,26637,27694,27447,8804.33,8879,9231.33,9149,53050,55141,8841.67,9160.43,153,157548,1
Hospital 1181,Region 2,District 13,Instrument 3,343,350,339,267,229,998,223,151,91,52,146,599,3788,315.67,248,998,52,1032,1494,465,797,344,498,155,265.67,2526,1262,421,322.86,153,9322,1
Hospital 1181,Region 2,District 13,Instrument 5,1317,1388,1321,1500,1326,1376,1504,1351,1727,1946,983,1639,17378,1448.17,1382,1946,983,4026,4202,4582,4568,1342,1400.67,1527.33,1522.67,8228,9150,1371.33,1503.71,153,114523,1
Hospital 1181,Region 2,District 15,Instrument 2,517,264,464,27,1180,1189,833,966,907,1101,1084,1167,9699,808.25,936.5,1189,27,1245,2396,2706,3352,415,798.67,902,1117.33,3641,6058,606.83,1035.29,5,13806,1
Hospital 1181,Region 2,District 15,Instrument 3,32,40,36,57,0,0,0,0,0,0,0,0,165,13.75,0,57,0,108,57,0,0,36,19,0,0,165,0,27.5,0,5,21366,1
Hospital 1181,Region 2,District 17,Instrument 2,1875,1739,1681,1625,1339,0,308,1275,1381,1443,1326,1309,15301,1275.08,1360,1875,0,5295,2964,2964,4078,1765,988,988,1359.33,8259,7042,1376.5,1006,68,29079,1
Hospital 1181,Region 2,District 19,Instrument 7,255,306,487,193,1030,0,0,0,0,0,0,0,2271,189.25,0,1030,0,1048,1223,0,0,349.33,407.67,0,0,2271,0,378.5,0,9,15000,1
Hospital 1181,Region 2,District 20,Instrument 2,0,13758,0,10280,0,9932,0,-8120,0,9063,0,9138,44051,3670.92,0,13758,-8120,13758,20212,-8120,18201,4586,6737.33,-2706.67,6067,33970,10081,5661.67,2859,303,17520,1
Hospital 1181,Region 2,District 20,Instrument 3,2,5111,0,10878,0,7410,0,10444,0,15256,0,10450,59551,4962.58,2556.5,15256,0,5113,18288,10444,25706,1704.33,6096,3481.33,8568.67,23401,36150,3900.17,6222.86,303,34692,1
Hospital 1181,Region 2,District 20,Instrument 7,0,639,0,639,0,818,0,753,0,753,0,753,4355,362.92,319.5,818,0,639,1457,753,1506,213,485.67,251,502,2096,2259,349.33,439.57,303,4510,1
Hospital 1181,Region 2,District 28,Instrument 3,235,232,429,329,457,231,256,232,232,232,232,249,3346,278.83,233.5,457,231,896,1017,720,713,298.67,339,240,237.67,1913,1433,318.83,237.71,67,10731,1
Hospital 1181,Region 2,District 34,Instrument 2,1595,1732,1708,1816,1690,1459,1668,1844,1645,2020,1777,1698,20652,1721,1703,2020,1459,5035,4965,5157,5495,1678.33,1655,1719,1831.67,10000,10652,1666.67,1730.14,26,1110,1
Hospital 1181,Region 2,District 34,Instrument 3,333,333,333,333,333,333,333,333,333,333,338,341,4009,334.08,333,341,333,999,999,999,1012,333,333,333,337.33,1998,2011,333,334.86,26,1597,1
Hospital 1181,Region 2,District 39,Instrument 7,389,386,372,1540,363,422,412,447,405,434,137,436,5743,478.58,408.5,1540,137,1147,2325,1264,1007,382.33,775,421.33,335.67,3472,2271,578.67,384.71,2,11195,1
Hospital 1181,Region 2,District 41,Instrument 2,2301,2301,2095,2066,1169,1291,1444,1515,1243,1314,1496,1415,19650,1637.5,1470,2301,1169,6697,4526,4202,4225,2232.33,1508.67,1400.67,1408.33,11223,8427,1870.5,1388.29,15,30648,1
Hospital 1181,Region 2,District 41,Instrument 3,2914,2914,2530,2784,3560,3599,4026,4223,4448,4386,4421,4416,44221,3685.08,3812.5,4448,2530,8358,9943,12697,13223,2786,3314.33,4232.33,4407.67,18301,25920,3050.17,4217,15,44115,1
Hospital 1181,Region 2,District 41,Instrument 5,210,223,128,128,108,108,108,126,133,123,123,159,1677,139.75,127,223,108,561,344,367,405,187,114.67,122.33,135,905,772,150.83,125.71,15,2100,1
Hospital 1181,Region 2,District 8,Instrument 2,326,295,271,271,271,309,309,311,318,324,344,290,3639,303.25,309,344,271,892,851,938,958,297.33,283.67,312.67,319.33,1743,1896,290.5,315,29,5425,1
Hospital 1182,Region 2,District 13,Instrument 2,5994,2529,4918,5160,4439,7687,6498,7066,7538,7756,6929,8802,75316,6276.33,6713.5,8802,2529,13441,17286,21102,23487,4480.33,5762,7034,7829,30727,44589,5121.17,7468,284,86121,1
Hospital 1182,Region 2,District 13,Instrument 5,929,1004,1015,989,916,1065,1094,1089,787,1075,1242,1020,12225,1018.75,1017.5,1242,787,2948,2970,2970,3337,982.67,990,990,1112.33,5918,6307,986.33,1053.14,284,60284,1
Hospital 1182,Region 2,District 41,Instrument 2,1272,1272,860,689,765,876,979,983,615,1012,751,756,10830,902.5,868,1272,615,3404,2330,2577,2519,1134.67,776.67,859,839.67,5734,5096,955.67,853.14,76,5625,1
Hospital 1183,Region 3,District 13,Instrument 2,2387,2979,4663,4990,6181,11826,9993,11543,11427,12185,10620,12296,101090,8424.17,10306.5,12296,2387,10029,22997,32963,35101,3343,7665.67,10987.67,11700.33,33026,68064,5504.33,11412.86,73,27864,1
Hospital 1183,Region 3,District 13,Instrument 3,457,504,479,476,477,1850,1167,839,886,924,897,1068,10024,835.33,862.5,1850,457,1440,2803,2892,2889,480,934.33,964,963,4243,5781,707.17,1090.14,73,266262,1
Hospital 1183,Region 3,District 13,Instrument 4,7857,8460,6310,6787,6297,0,0,0,0,0,0,0,35711,2975.92,0,8460,0,22627,13084,0,0,7542.33,4361.33,0,0,35711,0,5951.83,0,73,27288,1
Hospital 1183,Region 3,District 15,Instrument 2,188,-1841,198,142,971,1010,948,667,963,897,1063,988,6194,516.17,922.5,1063,-1841,-1455,2123,2578,2948,-485,707.67,859.33,982.67,668,5526,111.33,933.71,13,13140,1
Hospital 1183,Region 3,District 15,Instrument 3,7,10,43,27,0,0,0,0,0,0,0,0,87,7.25,0,43,0,60,27,0,0,20,9,0,0,87,0,14.5,0,13,1188,1
Hospital 1183,Region 3,District 20,Instrument 2,0,8100,0,9327,0,11895,0,12524,0,-12569,0,13316,42593,3549.42,0,13316,-12569,8100,21222,12524,747,2700,7074,4174.67,249,29322,13271,4887,3595.14,271,221441,1
Hospital 1183,Region 3,District 20,Instrument 3,0,4627,0,5688,0,10133,0,7202,0,5307,0,8509,41466,3455.5,2313.5,10133,0,4627,15821,7202,13816,1542.33,5273.67,2400.67,4605.33,20448,21018,3408,4450.14,271,48983,1
Hospital 1183,Region 3,District 28,Instrument 2,3148,3074,3155,3177,3296,4795,4071,3277,3287,3120,4177,2846,41423,3451.92,3227,4795,2846,9377,11268,10635,10143,3125.67,3756,3545,3381,20645,20778,3440.83,3653.29,27,53772,1
Hospital 1183,Region 3,District 28,Instrument 3,233,211,202,201,200,200,184,184,185,180,144,399,2523,210.25,200,399,144,646,601,553,723,215.33,200.33,184.33,241,1247,1276,207.83,210.86,27,36996,1
Hospital 1183,Region 3,District 34,Instrument 2,705,988,899,985,788,692,780,653,770,1035,1219,1160,10674,889.5,843.5,1219,653,2592,2465,2203,3414,864,821.67,734.33,1138,5057,5617,842.83,901.29,12,13080,1
Hospital 1183,Region 3,District 34,Instrument 3,229,83,71,87,128,88,320,146,144,149,149,149,1743,145.25,145,320,71,383,303,610,447,127.67,101,203.33,149,686,1057,114.33,163.57,12,8856,1
Hospital 1185,Region 2,District 39,Instrument 7,0,0,0,0,0,0,0,0,0,0,0,6143,6143,511.92,0,6143,0,0,0,0,6143,0,0,0,2047.67,0,6143,0,877.57,138,28760,1
Hospital 1188,Region 3,District 20,Instrument 2,0,1876,0,1806,0,1913,0,2104,0,1887,0,2042,11628,969,903,2104,0,1876,3719,2104,3929,625.33,1239.67,701.33,1309.67,5595,6033,932.5,1135.14,60,22900,1
Hospital 1188,Region 3,District 20,Instrument 3,0,13,0,138,0,413,0,402,0,340,0,408,1714,142.83,6.5,413,0,13,551,402,748,4.33,183.67,134,249.33,564,1150,94,223.29,60,20613,1
Hospital 1189,Region 5,District 18,Instrument 2,128663,126379,126641,124194,122683,141900,142815,133163,131173,131132,122843,127638,1559224,129935.33,128150.5,142815,122683,381683,388777,407151,381613,127227.67,129592.33,135717,127204.33,770460,788764,128410,132952,11693,84936,1
Hospital 1189,Region 5,District 18,Instrument 7,6366,5479,6763,6339,5835,5776,5879,6854,6489,8547,7566,6800,78693,6557.75,6427.5,8547,5479,18608,17950,19222,22913,6202.67,5983.33,6407.33,7637.67,36558,42135,6093,6844.43,11693,109255,1
Hospital 119,Region 4,District 20,Instrument 2,12547,4,12301,4,8876,4,10466,4,8462,4,7243,4,59919,4993.25,3623.5,12547,4,24852,8884,18932,7251,8284,2961.33,6310.67,2417,33736,26183,5622.67,3741,1,135552,1
Hospital 119,Region 4,District 20,Instrument 3,6560,0,6271,0,7376,0,6268,0,6105,0,6135,0,38715,3226.25,3052.5,7376,0,12831,7376,12373,6135,4277,2458.67,4124.33,2045,20207,18508,3367.83,2644,1,19620,1
Hospital 119,Region 4,District 20,Instrument 8,0,0,0,0,53,0,7,0,6,0,126,0,192,16,0,126,0,0,53,13,126,0,17.67,4.33,42,53,139,8.83,19.86,1,35700,1
Hospital 1190,Region 2,District 13,Instrument 5,0,0,0,0,0,0,0,0,0,0,0,3689,3689,307.42,0,3689,0,0,0,0,3689,0,0,0,1229.67,0,3689,0,527,148,21558,1
Hospital 1191,Region 5,District 39,Instrument 2,26895,24344,23187,22562,23774,26296,27026,27242,27179,31173,35730,28187,323595,26966.25,26960.5,35730,22562,74426,72632,81447,95090,24808.67,24210.67,27149,31696.67,147058,176537,24509.67,28976.14,123,8871,1
Hospital 1191,Region 5,District 39,Instrument 7,3946,3782,3947,9863,2752,4659,5587,6575,3532,4855,4556,5698,59752,4979.33,4607.5,9863,2752,11675,17274,15694,15109,3891.67,5758,5231.33,5036.33,28949,30803,4824.83,5066,123,125165,1
Hospital 1192,Region 2,District 12,Instrument 2,-276153,124119,121590,112810,102113,110910,127475,126216,126328,133106,136725,136796,1082035,90169.58,125167.5,136796,-276153,-30444,325833,380019,406627,-10148,108611,126673,135542.33,295389,786646,49231.5,128222.29,31666,1795200,1
Hospital 1192,Region 2,District 12,Instrument 8,378,375,373,620,328,346,90,365,64,598,-2520,0,1017,84.75,355.5,620,-2520,1126,1294,519,-1922,375.33,431.33,173,-640.67,2420,-1403,403.33,-151,31666,744000,1
Hospital 1192,Region 2,District 17,Instrument 2,301,344,396,377,335,333,302,245,184,202,234,157,3410,284.17,301.5,396,157,1041,1045,731,593,347,348.33,243.67,197.67,2086,1324,347.67,236.71,57,5023,1
Hospital 1192,Region 2,District 20,Instrument 3,1785,-178,1678,0,1502,0,1116,0,1122,0,1321,0,8346,695.5,558,1785,-178,3285,1502,2238,1321,1095,500.67,746,440.33,4787,3559,797.83,508.43,343,4725,1
Hospital 1192,Region 2,District 32,Instrument 2,775,806,729,287,663,710,533,483,522,0,0,0,5508,459,527.5,806,0,2310,1660,1538,0,770,553.33,512.67,0,3970,1538,661.67,321.14,626,7170,1
Hospital 1192,Region 2,District 32,Instrument 3,111,153,134,60,214,62,66,67,65,0,0,0,932,77.67,65.5,214,0,398,336,198,0,132.67,112,66,0,734,198,122.33,37.14,626,1848,1
Hospital 1192,Region 2,District 41,Instrument 3,1035,1035,683,584,870,1167,1254,1405,1878,1657,996,1010,13574,1131.17,1035,1878,584,2753,2621,4537,3663,917.67,873.67,1512.33,1221,5374,8200,895.67,1338.14,1612,16170,1
Hospital 1193,Region 2,District 13,Instrument 3,140,88,87,87,87,938,310,230,1915,110,280,322,4594,382.83,185,1915,87,315,1112,2455,712,105,370.67,818.33,237.33,1427,3167,237.83,586.43,920,3010,1
Hospital 1193,Region 2,District 15,Instrument 2,117,104,125,99,327,311,327,293,291,283,293,305,2875,239.58,292,327,99,346,737,911,881,115.33,245.67,303.67,293.67,1083,1792,180.5,300.43,4,5040,1
Hospital 1193,Region 2,District 18,Instrument 5,35,53,25,30,28,27,30,28,25,25,33,29,368,30.67,28.5,53,25,113,85,83,87,37.67,28.33,27.67,29,198,170,33,28.14,4281,2482,1
Hospital 1193,Region 2,District 20,Instrument 2,4664,0,4956,0,1098,0,4667,0,3867,0,5287,0,24539,2044.92,549,5287,0,9620,1098,8534,5287,3206.67,366,2844.67,1762.33,10718,13821,1786.33,1974.43,180,72551,1
Hospital 1193,Region 2,District 20,Instrument 3,5975,0,4616,0,8332,0,5034,0,5940,0,3979,0,33876,2823,1989.5,8332,0,10591,8332,10974,3979,3530.33,2777.33,3658,1326.33,18923,14953,3153.83,2136.14,180,98148,1
Hospital 1193,Region 2,District 28,Instrument 2,8221,7697,6069,6187,9082,10171,10033,8584,8730,7446,10703,19040,111963,9330.25,8657,19040,6069,21987,25440,27347,37189,7329,8480,9115.67,12396.33,47427,64536,7904.5,10672.43,617,72264,1
Hospital 1193,Region 2,District 28,Instrument 3,1693,1683,1681,1665,1715,1757,1722,1672,1678,1682,1686,1687,20321,1693.42,1684.5,1757,1665,5057,5137,5072,5055,1685.67,1712.33,1690.67,1685,10194,10127,1699,1697.71,617,42142,1
Hospital 1193,Region 2,District 28,Instrument 4,73,75,72,72,72,72,72,72,72,72,72,0,796,66.33,72,75,0,220,216,216,144,73.33,72,72,48,436,360,72.67,61.71,617,1296,1
Hospital 1193,Region 2,District 28,Instrument 8,1972,1818,2036,2084,2155,2554,2209,2428,2298,2495,2729,2741,27519,2293.25,2253.5,2741,1818,5826,6793,6935,7965,1942,2264.33,2311.67,2655,12619,14900,2103.17,2493.43,617,45477,1
Hospital 1193,Region 2,District 41,Instrument 2,2930,2930,2936,3059,2291,2943,3112,2501,2857,2554,2653,2648,33414,2784.5,2893.5,3112,2291,8796,8293,8470,7855,2932,2764.33,2823.33,2618.33,17089,16325,2848.17,2752.57,194,138601,1
Hospital 1193,Region 2,District 8,Instrument 2,0,0,0,0,0,0,0,0,0,0,0,329,329,27.42,0,329,0,0,0,0,329,0,0,0,109.67,0,329,0,47,55,23640,1
Hospital 1194,Region 4,District 20,Instrument 2,0,1472,0,1852,0,1601,0,1268,0,1106,0,1276,8575,714.58,553,1852,0,1472,3453,1268,2382,490.67,1151,422.67,794,4925,3650,820.83,750.14,31,16020,1
Hospital 1194,Region 4,District 20,Instrument 3,0,1555,0,3127,0,1400,0,999,0,1350,0,898,9329,777.42,449,3127,0,1555,4527,999,2248,518.33,1509,333,749.33,6082,3247,1013.67,663.86,31,4320,1
Hospital 1194,Region 4,District 41,Instrument 3,0,0,0,0,0,0,48,420,432,409,47,20,1376,114.67,10,432,0,0,0,900,476,0,0,300,158.67,0,1376,0,196.57,9222,6174,1
Hospital 1195,Region 5,District 2,Instrument 8,0,0,0,0,0,0,0,0,25824,2442,13488,13488,55242,4603.5,0,25824,0,0,0,25824,29418,0,0,8608,9806,0,55242,0,7891.71,824,794409,1
Hospital 1196,Region 3,District 13,Instrument 2,2282,2358,1650,-3385,1654,5399,6454,6294,-3615,7579,75205,8782,110657,9221.42,3878.5,75205,-3615,6290,3668,9133,91566,2096.67,1222.67,3044.33,30522,9958,100699,1659.67,15156.86,17833,2935,1
Hospital 1196,Region 3,District 13,Instrument 3,1245,1156,1108,1090,1188,949,1760,11633,2225,1277,647,736,25014,2084.5,1172,11633,647,3509,3227,15618,2660,1169.67,1075.67,5206,886.67,6736,18278,1122.67,2746.71,17833,5194,1
Hospital 1196,Region 3,District 13,Instrument 4,2118,2351,2557,2591,3087,0,0,0,0,0,0,0,12704,1058.67,0,3087,0,7026,5678,0,0,2342,1892.67,0,0,12704,0,2117.33,0,17833,413,1
Hospital 1196,Region 3,District 13,Instrument 5,822,770,832,824,742,533,758,720,745,805,744,1155,9450,787.5,764,1155,533,2424,2099,2223,2704,808,699.67,741,901.33,4523,4927,753.83,780,17833,10690,1
Hospital 1196,Region 3,District 13,Instrument 8,0,0,0,0,0,0,160,160,164,204,175,1148,2011,167.58,80,1148,0,0,0,484,1527,0,0,161.33,509,0,2011,0,287.29,17833,75600,1
Hospital 1196,Region 3,District 20,Instrument 2,1436,6841,912,6623,612,10153,897,10201,509,11373,1106,11885,62548,5212.33,4029.5,11885,509,9189,17388,11607,24364,3063,5796,3869,8121.33,26577,35971,4429.5,6589.14,3,37113,1
Hospital 1196,Region 3,District 20,Instrument 3,43,6436,43,6750,40,7523,52,8067,46,7830,40,8567,45437,3786.42,3244,8567,40,6522,14313,8165,16437,2174,4771,2721.67,5479,20835,24602,3472.5,4589.29,3,29515,1
Hospital 1196,Region 3,District 34,Instrument 5,0,0,0,0,0,0,3,2,62,60,58,57,242,20.17,1,62,0,0,0,67,175,0,0,22.33,58.33,0,242,0,34.57,52,4080,1
Hospital 1196,Region 3,District 34,Instrument 7,219,350,291,291,291,294,348,437,326,326,302,351,3826,318.83,314,437,219,860,876,1111,979,286.67,292,370.33,326.33,1736,2090,289.33,340.57,52,8664,1
Hospital 1196,Region 3,District 41,Instrument 2,1885,1885,1749,2101,1923,2041,2005,1933,1832,1608,1920,1990,22872,1906,1921.5,2101,1608,5519,6065,5770,5518,1839.67,2021.67,1923.33,1839.33,11584,11288,1930.67,1904.14,286,40050,1
Hospital 1196,Region 3,District 41,Instrument 3,1470,1468,1732,1521,1663,1714,1357,1372,1484,1378,1384,1471,18014,1501.17,1470.5,1732,1357,4670,4898,4213,4233,1556.67,1632.67,1404.33,1411,9568,8446,1594.67,1451.43,286,14568,1
Hospital 1196,Region 3,District 41,Instrument 8,133,135,135,79,137,135,138,132,131,131,130,131,1547,128.92,132.5,138,79,403,351,401,392,134.33,117,133.67,130.67,754,793,125.67,132.57,286,2520,1
Hospital 1197,Region 3,District 13,Instrument 2,7811,7604,7871,8372,7837,8283,8517,8283,8751,8922,31842,10092,124185,10348.75,8327.5,31842,7604,23286,24492,25551,50856,7762,8164,8517,16952,47778,76407,7963,12098.57,83443,38880,1
Hospital 1197,Region 3,District 13,Instrument 5,105815,101745,96808,93596,84019,179950,4621,90898,91373,84118,89909,80921,1103773,91981.08,91135.5,179950,4621,304368,357565,186892,254948,101456,119188.33,62297.33,84982.67,661933,441840,110322.17,88827.14,83443,14473,1
Hospital 1197,Region 3,District 13,Instrument 8,3,3,3,3,3,0,211,213,217,216,215,211,1298,108.17,107,217,0,9,6,641,642,3,2,213.67,214,15,1283,2.5,183.29,83443,52513,1
Hospital 1197,Region 3,District 20,Instrument 2,0,7210,0,6862,0,6711,0,-1349,0,6400,0,6266,32100,2675,0,7210,-1349,7210,13573,-1349,12666,2403.33,4524.33,-449.67,4222,20783,11317,3463.83,2575.43,3577,58650,1
Hospital 1197,Region 3,District 20,Instrument 3,0,2706,0,1229,0,927,0,858,0,908,0,859,7487,623.92,429,2706,0,2706,2156,858,1767,902,718.67,286,589,4862,2625,810.33,507.43,3577,72900,1
Hospital 1197,Region 3,District 34,Instrument 2,1086,1209,1251,1445,1679,1425,1369,1531,1674,1547,1681,1771,17668,1472.33,1488,1771,1086,3546,4549,4574,4999,1182,1516.33,1524.67,1666.33,8095,9573,1349.17,1571.14,2265,19194,1
Hospital 1197,Region 3,District 34,Instrument 3,186,172,164,175,172,179,178,178,197,215,188,197,2201,183.42,178.5,215,164,522,526,553,600,174,175.33,184.33,200,1048,1153,174.67,190.29,2265,6660,1
Hospital 1197,Region 3,District 34,Instrument 4,99,103,118,98,93,87,85,117,0,0,0,0,800,66.67,90,118,0,320,278,202,0,106.67,92.67,67.33,0,598,202,99.67,41.29,2265,6707,1
Hospital 1197,Region 3,District 34,Instrument 5,380,406,398,412,384,384,410,444,555,609,553,546,5481,456.75,411,609,380,1184,1180,1409,1708,394.67,393.33,469.67,569.33,2364,3117,394,500.14,2265,10350,1
Hospital 1197,Region 3,District 34,Instrument 7,1668,2096,4727,3891,3943,3964,4000,4088,4063,4054,4084,4070,44648,3720.67,4027,4727,1668,8491,11798,12151,12208,2830.33,3932.67,4050.33,4069.33,20289,24359,3381.5,4046.14,2265,63120,1
Hospital 1198,Region 2,District 13,Instrument 2,4237,4155,4734,3776,2784,2026,4296,4389,4334,3643,4821,4897,48092,4007.67,4266.5,4897,2026,13126,8586,13019,13361,4375.33,2862,4339.67,4453.67,21712,26380,3618.67,4058,158,994,1
Hospital 1198,Region 2,District 20,Instrument 2,690,0,974,0,597,0,2010,-1965,1252,0,-1279,0,2279,189.92,0,2010,-1965,1664,597,1297,-1279,554.67,199,432.33,-426.33,2261,18,376.83,2.57,102,377,1
Hospital 1198,Region 2,District 20,Instrument 3,876,0,649,0,751,0,24,0,303,0,298,0,2901,241.75,12,876,0,1525,751,327,298,508.33,250.33,109,99.33,2276,625,379.33,89.29,102,1008,1
Hospital 1198,Region 2,District 41,Instrument 2,0,0,0,0,0,0,0,0,0,8,543,730,1281,106.75,0,730,0,0,0,0,1281,0,0,0,427,0,1281,0,183,100,5724,1
Hospital 1198,Region 2,District 41,Instrument 3,0,0,0,0,0,0,0,0,0,3,425,528,956,79.67,0,528,0,0,0,0,956,0,0,0,318.67,0,956,0,136.57,100,7500,1
Hospital 1199,Region 2,District 12,Instrument 2,33354,30486,31658,30409,107,31953,29337,31763,29559,16790,31435,36596,333447,27787.25,30960.5,36596,107,95498,62469,90659,84821,31832.67,20823,30219.67,28273.67,157967,175480,26327.83,29633.29,2586,317520,1
Hospital 1199,Region 2,District 12,Instrument 3,9028,8977,10545,7970,9134,9512,9417,8837,8670,8693,8830,0,99613,8301.08,8907,10545,0,28550,26616,26924,17523,9516.67,8872,8974.67,5841,55166,44447,9194.33,7708.43,2586,134568,1
Hospital 1199,Region 2,District 20,Instrument 2,0,2589,0,2667,0,2099,0,2535,0,1923,0,2643,14456,1204.67,961.5,2667,0,2589,4766,2535,4566,863,1588.67,845,1522,7355,7101,1225.83,1314.29,204,50304,1
Hospital 1199,Region 2,District 20,Instrument 3,0,1903,0,1929,0,1933,0,1917,0,2596,0,7882,18160,1513.33,951.5,7882,0,1903,3862,1917,10478,634.33,1287.33,639,3492.67,5765,12395,960.83,2046.86,204,29076,1
Hospital 1199,Region 2,District 28,Instrument 2,5895,5384,5340,4292,6104,6034,5543,4805,5248,4810,5708,4183,63346,5278.83,5362,6104,4183,16619,16430,15596,14701,5539.67,5476.67,5198.67,4900.33,33049,30297,5508.17,5190.14,264,43470,1
Hospital 1199,Region 2,District 28,Instrument 3,728,822,677,643,664,632,621,692,729,655,734,761,8358,696.5,684.5,822,621,2227,1939,2042,2150,742.33,646.33,680.67,716.67,4166,4192,694.33,689.14,264,38700,1
Hospital 1199,Region 2,District 32,Instrument 2,1285,1209,1553,1029,1108,1254,1235,1234,1041,1082,1292,1240,14562,1213.5,1234.5,1553,1029,4047,3391,3510,3614,1349,1130.33,1170,1204.67,7438,7124,1239.67,1196.86,82,13200,1
Hospital 1199,Region 2,District 32,Instrument 3,253,314,219,228,223,223,229,239,224,220,234,235,2841,236.75,228.5,314,219,786,674,692,689,262,224.67,230.67,229.67,1460,1381,243.33,229.14,82,2040,1
Hospital 12,Region 2,District 13,Instrument 5,26608,26721,26615,25226,26142,26445,24068,26053,25797,23058,24035,12050,292818,24401.5,25925,26721,12050,79944,77813,75918,59143,26648,25937.67,25306,19714.33,157757,135061,26292.83,23072.29,18,3625,1
Hospital 12,Region 2,District 28,Instrument 2,11414,11025,10962,9862,11077,11690,11325,11986,11695,11289,-6099,12004,118230,9852.5,11307,12004,-6099,33401,32629,35006,17194,11133.67,10876.33,11668.67,5731.33,66030,52200,11005,9127.14,3663,2465,1
Hospital 12,Region 2,District 28,Instrument 3,1638,1119,1412,1285,1278,1296,1287,1330,1377,1380,1306,766,15474,1289.5,1301,1638,766,4169,3859,3994,3452,1389.67,1286.33,1331.33,1150.67,8028,7446,1338,1248.86,3663,6720,1
Hospital 120,Region 2,District 13,Instrument 2,775,793,1219,1046,1124,2323,551,1208,1190,1404,1281,1329,14243,1186.92,1199,2323,551,2787,4493,2949,4014,929,1497.67,983,1338,7280,6963,1213.33,1326.57,372,228,1
Hospital 120,Region 2,District 13,Instrument 3,55,58,65,71,67,137,87,130,39,14,5,103,831,69.25,66,137,5,178,275,256,122,59.33,91.67,85.33,40.67,453,378,75.5,73.57,372,3612,1
Hospital 120,Region 2,District 20,Instrument 2,0,1169,0,956,0,1037,0,1162,0,940,0,1048,6312,526,470,1169,0,1169,1993,1162,1988,389.67,664.33,387.33,662.67,3162,3150,527,598.14,339,3376,1
Hospital 120,Region 2,District 20,Instrument 3,0,196,0,209,0,161,0,156,0,161,0,175,1058,88.17,78,209,0,196,370,156,336,65.33,123.33,52,112,566,492,94.33,93.29,339,219,1
